Date;Time; Temperatura  -  Méd  (C) ; Umidade  -  Méd  (%) ; Pressão  -  Méd  (hpa) ; Velocidade  do  vento  -  Méd  (kmh) ; Rajada  de  vento  -  Méd  (kmh) ; Direção  do  vento  -  Tudo  (°) ; Ponto  de  orvalho  -  Méd  (C) ; Temperatura  aparente  -  Méd  (C) ; Taxa  de  precipitação  -  Méd  (mm/h) ; Precipitation  -  Total  (mm) ; Radiação  solar  -  Méd  (W/m2) ; Temperatura  -  Máx  (C) ; Umidade  -  Máx  (%) ; Pressão  -  Máx  (hpa) ; Velocidade  do  vento  -  Máx  (kmh) ; Rajada  de  vento  -  Máx  (kmh) ; Ponto  de  orvalho  -  Máx  (C) ; Temperatura  aparente  -  Máx  (C) ; Taxa  de  precipitação  -  Máx  (mm/h) ; Radiação  solar  -  Máx  (W/m2) ; Temperatura  -  Mín  (C) ; Umidade  -  Mín  (%) ; Pressão  -  Mín  (hpa) ; Velocidade  do  vento  -  Mín  (kmh) ; Rajada  de  vento  -  Mín  (kmh) ; Ponto  de  orvalho  -  Mín  (C) ; Temperatura  aparente  -  Mín  (C) ; Taxa  de  precipitação  -  Mín  (mm/h) ; Radiação  solar  -  Mín  (W/m2) ; Temperatura  -  Variação  (C) ; Umidade  -  Variação  (%) ; Pressão  -  Variação  (hpa) ; Velocidade  do  vento  -  Variação  (kmh) ; Rajada  de  vento  -  Variação  (kmh) ; Ponto  de  orvalho  -  Variação  (C) ; Temperatura  aparente  -  Variação  (C) ; Taxa  de  precipitação  -  Variação  (mm/h) ; Radiação  solar  -  Variação  (W/m2) 
01/01/20;    ;24.65;75.55;1007.30;1.59;2.34;144;19.68;27.89;0.00;0.30;270.59;31.30;94.00;1009.80;6.40;12.90;21.60;34.50;0.00;1220.00;19.20;51.00;1003.10;0.00;0.00;18.20;22.10;0.00;0.00;12.10;43.00;6.70;6.40;12.90;3.40;12.40;0.00;1220.00
02/01/20;    ;21.08;89.43;1007.80;0.60;1.10;140;19.23;24.31;1.16;27.70;110.70;26.80;95.00;1010.50;8.00;17.70;21.80;31.20;109.20;733.00;19.30;72.00;1005.40;0.00;0.00;17.70;22.20;0.00;0.00;7.50;23.00;5.10;8.00;17.70;4.10;9.00;109.20;733.00
03/01/20;    ;21.77;85.18;1009.22;1.23;1.80;150;19.05;24.81;0.20;5.10;180.33;27.40;95.00;1010.80;8.00;11.30;21.00;30.50;30.20;1232.00;18.30;64.00;1007.50;0.00;0.00;17.30;20.80;0.00;0.00;9.10;31.00;3.30;8.00;11.30;3.70;9.70;30.20;1232.00
04/01/20;    ;22.42;84.04;1007.36;1.04;1.59;123;19.48;25.69;0.07;1.80;168.68;27.40;93.00;1009.50;4.80;11.30;21.90;31.00;8.10;1366.00;18.90;64.00;1004.70;0.00;0.00;17.70;21.60;0.00;0.00;8.50;29.00;4.80;4.80;11.30;4.20;9.40;8.10;1366.00
05/01/20;    ;22.60;84.65;1006.90;1.09;1.77;126;19.72;25.97;0.60;8.60;213.66;28.60;95.00;1009.10;6.40;12.90;21.60;32.20;102.40;1438.00;18.70;61.00;1004.40;0.00;0.00;17.70;21.40;0.00;0.00;9.90;34.00;4.70;6.40;12.90;3.90;10.80;102.40;1438.00
06/01/20;    ;22.00;85.72;1008.79;1.13;1.80;97;19.31;25.19;0.20;3.10;205.93;28.00;95.00;1011.20;8.00;12.90;21.40;31.60;17.50;1239.00;17.30;64.00;1006.80;0.00;0.00;16.30;19.40;0.00;0.00;10.70;31.00;4.40;8.00;12.90;5.10;12.20;17.50;1239.00
07/01/20;    ;24.48;77.35;1010.09;1.37;4.41;130;19.92;27.91;0.00;0.50;271.13;31.80;95.00;1012.50;6.40;14.50;22.70;36.10;0.00;1260.00;17.20;55.00;1006.80;0.00;0.00;16.30;19.30;0.00;0.00;14.60;40.00;5.70;6.40;14.50;6.40;16.80;0.00;1260.00
08/01/20;    ;23.59;85.74;1010.40;0.82;4.11;141;20.92;27.59;0.60;11.90;180.79;30.90;94.00;1012.90;9.70;33.80;23.30;34.90;55.90;1246.00;21.20;57.00;1008.10;0.00;0.00;19.40;24.80;0.00;0.00;9.70;37.00;4.80;9.70;33.80;3.90;10.10;55.90;1246.00
09/01/20;    ;23.82;85.19;1011.20;1.16;3.87;141;21.01;27.80;0.00;0.50;215.41;30.60;95.00;1012.50;9.70;11.30;23.40;35.10;0.00;1294.00;20.10;59.00;1009.10;0.00;0.00;19.30;23.50;0.00;0.00;10.50;36.00;3.40;9.70;11.30;4.10;11.60;0.00;1294.00
10/01/20;    ;25.26;81.85;1009.97;1.44;4.20;96;21.65;29.49;0.19;2.50;272.99;32.10;94.00;1012.20;12.90;22.50;23.40;36.60;25.40;1125.00;21.80;54.00;1006.80;0.00;0.00;20.40;25.90;0.00;0.00;10.30;40.00;5.40;12.90;22.50;3.00;10.70;25.40;1125.00
11/01/20;    ;24.14;85.85;1009.72;1.00;3.59;107;21.43;28.36;0.52;12.20;219.22;31.80;94.00;1011.90;9.70;17.70;24.00;36.00;61.70;1311.00;21.30;57.00;1007.80;0.00;0.00;19.90;25.00;0.00;0.00;10.50;37.00;4.10;9.70;17.70;4.10;11.00;61.70;1311.00
12/01/20;    ;23.43;86.37;1011.60;1.23;4.14;95;20.86;27.32;2.06;34.30;185.87;30.20;95.00;1013.90;6.40;12.90;23.70;34.70;137.90;1215.00;19.40;64.00;1009.10;0.00;0.00;18.40;22.40;0.00;0.00;10.80;31.00;4.80;6.40;12.90;5.30;12.30;137.90;1215.00
13/01/20;    ;22.36;88.18;1012.71;0.71;1.39;117;20.21;26.05;0.13;2.50;144.38;28.50;95.00;1014.20;6.40;19.30;22.60;32.70;3.80;814.00;19.20;68.00;1011.50;0.00;0.00;18.20;22.10;0.00;0.00;9.30;27.00;2.70;6.40;19.30;4.40;10.60;3.80;814.00
14/01/20;    ;24.13;80.32;1012.40;1.26;2.03;143;20.32;27.74;0.00;0.00;207.27;29.90;95.00;1014.20;4.80;8.00;22.40;34.20;0.00;939.00;19.60;60.00;1010.20;0.00;0.00;18.60;22.70;0.00;0.00;10.30;35.00;4.00;4.80;8.00;3.80;11.50;0.00;939.00
15/01/20;    ;22.95;85.73;1011.94;0.44;0.85;105;20.36;26.73;0.00;0.00;133.80;25.70;92.00;1013.20;1.60;3.20;20.80;29.40;0.00;601.00;21.30;74.00;1010.50;0.00;0.00;19.80;24.90;0.00;0.00;4.40;18.00;2.70;1.60;3.20;1.00;4.50;0.00;601.00
16/01/20;    ;25.73;76.73;1011.56;1.99;2.96;129;20.92;29.51;0.37;5.60;369.01;33.20;94.00;1013.90;9.70;14.50;23.20;37.50;35.80;1102.00;20.00;52.00;1008.50;0.00;0.00;18.80;23.10;0.00;0.00;13.20;42.00;5.40;9.70;14.50;4.40;14.40;35.80;1102.00
17/01/20;    ;22.18;78.87;1015.78;3.90;6.07;204;18.30;24.38;0.00;3.10;104.67;24.40;93.00;1016.60;8.00;16.10;21.20;27.80;0.00;390.00;20.90;74.00;1014.90;0.00;1.60;16.50;22.10;0.00;0.00;3.50;19.00;1.70;8.00;14.50;4.70;5.70;0.00;390.00
18/01/20;    ;23.11;75.46;1015.20;2.59;3.99;175;18.46;25.62;0.00;0.00;156.63;26.80;86.00;1016.90;6.40;12.90;20.80;30.80;0.00;742.00;19.10;65.00;1013.20;0.00;0.00;16.30;20.60;0.00;0.00;7.70;21.00;3.70;6.40;12.90;4.50;10.20;0.00;742.00
19/01/20;    ;23.21;79.51;1012.75;2.54;3.99;158;19.33;26.13;0.60;10.20;228.32;28.80;92.00;1014.90;8.00;14.50;22.20;32.30;26.20;1204.00;19.40;62.00;1009.80;0.00;0.00;17.50;22.00;0.00;0.00;9.40;30.00;5.10;8.00;14.50;4.70;10.30;26.20;1204.00
20/01/20;    ;23.14;79.22;1009.78;1.92;2.85;171;19.21;26.12;0.27;3.80;235.07;30.10;91.00;1012.50;8.00;16.10;21.90;33.90;52.60;1230.00;19.40;60.00;1006.40;0.00;0.00;16.80;21.70;0.00;0.00;10.70;31.00;6.10;8.00;16.10;5.10;12.20;52.60;1230.00
21/01/20;    ;22.56;73.68;1007.67;2.08;3.07;153;17.21;24.64;0.00;0.30;303.55;29.90;94.00;1010.50;6.40;12.90;19.50;32.50;0.00;1114.00;16.10;45.00;1004.70;0.00;0.00;14.80;17.60;0.00;0.00;13.80;49.00;5.80;6.40;12.90;4.70;14.90;0.00;1114.00
22/01/20;    ;23.08;72.72;1006.88;2.29;3.46;174;17.72;25.33;0.00;0.00;214.71;28.20;92.00;1008.80;8.00;17.70;19.70;31.00;0.00;1106.00;16.80;56.00;1004.40;0.00;0.00;15.20;18.50;0.00;0.00;11.40;36.00;4.40;8.00;17.70;4.50;12.50;0.00;1106.00
23/01/20;    ;20.54;89.58;1005.94;0.43;0.96;168;18.73;23.58;0.63;13.50;77.12;23.10;95.00;1007.50;3.20;8.00;20.40;26.90;14.50;462.00;19.20;77.00;1003.70;0.00;0.00;17.60;22.00;0.00;0.00;3.90;18.00;3.80;3.20;8.00;2.80;4.90;14.50;462.00
